"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","color","text","condition","correct_response","correct"
"1259","Welcome to the experiment! Press any key to begin"," ","html-keyboard-response","0","1263","0.0-0.0","","","","","",""
"503","
            <p>In this experiment, a word will appear in the center of the screen.</p>
            <p>When the word appears respond with the <strong>color</strong>
            in which the word is printed as quickly as you can.</p><p> 
            Press <strong>r</strong> for red, <strong>g</strong> for green, 
            <strong>y</strong> for yellow and <strong>b</strong> for blue.</p>
            <p>Press any key to begin.</p>
            "," ","html-keyboard-response","1","1767","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","5029","0.0-2.0-0.0","fixation","","","","",""
"1154","
                    <p style=""color:green"">
                    red</p>","r","html-keyboard-response","3","6184","0.0-2.0-1.0","response","green","red","incongruent","g","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","6444","0.0-2.0-0.1","fixation","","","","",""
"836","
                    <p style=""color:yellow"">
                    blue</p>","b","html-keyboard-response","5","7282","0.0-2.0-1.1","response","yellow","blue","incongruent","y","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","8047","0.0-2.0-0.2","fixation","","","","",""
"826","
                    <p style=""color:red"">
                    red</p>","r","html-keyboard-response","7","8873","0.0-2.0-1.2","response","red","red","congruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","10636","0.0-2.0-0.3","fixation","","","","",""
"1019","
                    <p style=""color:yellow"">
                    yellow</p>","y","html-keyboard-response","9","11656","0.0-2.0-1.3","response","yellow","yellow","congruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","13672","0.0-2.0-0.4","fixation","","","","",""
"681","
                    <p style=""color:green"">
                    green</p>","g","html-keyboard-response","11","14354","0.0-2.0-1.4","response","green","green","congruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","15616","0.0-2.0-0.5","fixation","","","","",""
"1180","
                    <p style=""color:blue"">
                    yellow</p>","b","html-keyboard-response","13","16797","0.0-2.0-1.5","response","blue","yellow","incongruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","17058","0.0-2.0-0.6","fixation","","","","",""
"1147","
                    <p style=""color:blue"">
                    blue</p>","b","html-keyboard-response","15","18206","0.0-2.0-1.6","response","blue","blue","congruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","18960","0.0-2.0-0.7","fixation","","","","",""
"3763","
                    <p style=""color:red"">
                    green</p>","r","html-keyboard-response","17","22724","0.0-2.0-1.7","response","red","green","incongruent","r","true"
"785","<p>You responded correctly on 75% of the trials.</p>
                <p>Your average response time was 1436ms.</p>
                <p>Press any key to complete the experiment</p>
                <p>and csv file of your experiment</p>
                <p>data will automatically get downloaded. Thank you!!</p>"," ","html-keyboard-response","18","23512","0.0-3.0","","","","","",""
