"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","color","text","condition","correct_response","correct"
"1208","Welcome to the experiment! Press any key to begin"," ","html-keyboard-response","0","1211","0.0-0.0","","","","","",""
"3913","
            <p>In this experiment, a word will appear in the center of the screen.</p>
            <p>When the word appears respond with the <strong>color</strong>
            in which the word is printed as quickly as you can.</p><p> 
            Press <strong>r</strong> for red, <strong>g</strong> for green, 
            <strong>y</strong> for yellow, <strong>b</strong> for blue,
            <strong>p</strong> for purple and <strong>o</strong> for orange.</p>
            <p>Press any key to begin.</p>
            "," ","html-keyboard-response","1","5124","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","8130","0.0-2.0-0.0","fixation","","","","",""
"1456","
                    <p style=""color:green"">
                    red</p>","g","html-keyboard-response","3","9588","0.0-2.0-1.0","response","green","red","incongruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","10090","0.0-2.0-0.1","fixation","","","","",""
"875","
                    <p style=""color:red"">
                    red</p>","r","html-keyboard-response","5","10965","0.0-2.0-1.1","response","red","red","congruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","11222","0.0-2.0-0.2","fixation","","","","",""
"1557","
                    <p style=""color:yellow"">
                    blue</p>","y","html-keyboard-response","7","12779","0.0-2.0-1.2","response","yellow","blue","incongruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","13781","0.0-2.0-0.3","fixation","","","","",""
"947","
                    <p style=""color:blue"">
                    blue</p>","b","html-keyboard-response","9","14729","0.0-2.0-1.3","response","blue","blue","congruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","16740","0.0-2.0-0.4","fixation","","","","",""
"1294","
                    <p style=""color:orange"">
                    orange</p>","o","html-keyboard-response","11","18034","0.0-2.0-1.4","response","orange","orange","congruent","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","19291","0.0-2.0-0.5","fixation","","","","",""
"1545","
                    <p style=""color:orange"">
                    blue</p>","o","html-keyboard-response","13","20837","0.0-2.0-1.5","response","orange","blue","incongruent","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","21088","0.0-2.0-0.6","fixation","","","","",""
"1566","
                    <p style=""color:blue"">
                    yellow</p>","b","html-keyboard-response","15","22654","0.0-2.0-1.6","response","blue","yellow","incongruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","23405","0.0-2.0-0.7","fixation","","","","",""
"1299","
                    <p style=""color:red"">
                    green</p>","r","html-keyboard-response","17","24705","0.0-2.0-1.7","response","red","green","incongruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","26215","0.0-2.0-0.8","fixation","","","","",""
"916","
                    <p style=""color:green"">
                    green</p>","g","html-keyboard-response","19","27131","0.0-2.0-1.8","response","green","green","congruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","28883","0.0-2.0-0.9","fixation","","","","",""
"4995","
                    <p style=""color:purple"">
                    green</p>","g","html-keyboard-response","21","33879","0.0-2.0-1.9","response","purple","green","incongruent","p","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","35142","0.0-2.0-0.10","fixation","","","","",""
"1704","
                    <p style=""color:purple"">
                    purple</p>","p","html-keyboard-response","23","36846","0.0-2.0-1.10","response","purple","purple","congruent","p","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","37101","0.0-2.0-0.11","fixation","","","","",""
"884","
                    <p style=""color:yellow"">
                    yellow</p>","y","html-keyboard-response","25","37986","0.0-2.0-1.11","response","yellow","yellow","congruent","y","true"
"3321","<p>You responded correctly on 92% of the trials.</p>
                <p>Your average response time was 1277ms.</p>
                <p>Press any key to complete the experiment. Thank you!!</p>"," ","html-keyboard-response","26","41308","0.0-3.0","","","","","",""
