"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","color","text","condition","correct_response","correct"
"2824","Welcome to the experiment! Press any key to begin","g","html-keyboard-response","0","2828","0.0-0.0","","","","","",""
"5587","
            <p>In this experiment, a word will appear in the center of the screen.</p>
            <p>When the word appears respond with the <strong>color</strong>
            in which the word is printed as quickly as you can.</p><p> 
            Press <strong>R</strong> for red, <strong>G</strong> for green, 
            <strong>Y</strong> for yellow and <strong>B</strong> for blue.</p>
            <p>Press any key to begin.</p>
            ","r","html-keyboard-response","1","8415","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","10675","0.0-2.0-0.0","fixation","","","","",""
"1063","
                    <p style=""color:red"">
                    red</p>","r","html-keyboard-response","3","11739","0.0-2.0-1.0","response","red","red","congruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","11991","0.0-2.0-0.1","fixation","","","","",""
"2172","
                    <p style=""color:yellow"">
                    blue</p>","b","html-keyboard-response","5","14164","0.0-2.0-1.1","response","yellow","blue","incongruent","y","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","16167","0.0-2.0-0.2","fixation","","","","",""
"1672","
                    <p style=""color:red"">
                    green</p>","r","html-keyboard-response","7","17840","0.0-2.0-1.2","response","red","green","incongruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","18099","0.0-2.0-0.3","fixation","","","","",""
"1541","
                    <p style=""color:yellow"">
                    yellow</p>","y","html-keyboard-response","9","19641","0.0-2.0-1.3","response","yellow","yellow","congruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","21156","0.0-2.0-0.4","fixation","","","","",""
"1188","
                    <p style=""color:green"">
                    green</p>","g","html-keyboard-response","11","22345","0.0-2.0-1.4","response","green","green","congruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","24100","0.0-2.0-0.5","fixation","","","","",""
"876","
                    <p style=""color:blue"">
                    blue</p>","b","html-keyboard-response","13","24977","0.0-2.0-1.5","response","blue","blue","congruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","25237","0.0-2.0-0.6","fixation","","","","",""
"1094","
                    <p style=""color:blue"">
                    yellow</p>","y","html-keyboard-response","15","26332","0.0-2.0-1.6","response","blue","yellow","incongruent","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","28336","0.0-2.0-0.7","fixation","","","","",""
"2823","
                    <p style=""color:green"">
                    red</p>","g","html-keyboard-response","17","31161","0.0-2.0-1.7","response","green","red","incongruent","g","true"
"52389","<p>You responded correctly on 75% of the trials.</p>
                <p>Your average response time was 1527ms.</p>
                <p>Press any key to complete the experiment. Thank you!!</p>"," ","html-keyboard-response","18","83552","0.0-3.0","","","","","",""
