"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","color","text","condition","correct_response","correct"
"1069","Welcome to the experiment! Press any key to begin"," ","html-keyboard-response","0","1070","0.0-0.0","","","","","",""
"549","
            <p>In this experiment, a word will appear in the center of the screen.</p>
            <p>When the word appears respond with the <strong>color</strong>
            in which the word is printed as quickly as you can.</p><p> 
            Press <strong>r</strong> for red, <strong>g</strong> for green, 
            <strong>y</strong> for yellow and <strong>b</strong> for blue.</p>
            <p>Press any key to begin.</p>
            "," ","html-keyboard-response","1","1621","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","5141","0.0-2.0-0.0","fixation","","","","",""
"1473","
                    <p style=""color:yellow"">
                    blue</p>","b","html-keyboard-response","3","6615","0.0-2.0-1.0","response","yellow","blue","incongruent","y","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","8630","0.0-2.0-0.1","fixation","","","","",""
"783","
                    <p style=""color:yellow"">
                    yellow</p>","y","html-keyboard-response","5","9414","0.0-2.0-1.1","response","yellow","yellow","congruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","10430","0.0-2.0-0.2","fixation","","","","",""
"794","
                    <p style=""color:red"">
                    red</p>","r","html-keyboard-response","7","11225","0.0-2.0-1.2","response","red","red","congruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","11981","0.0-2.0-0.3","fixation","","","","",""
"617","
                    <p style=""color:green"">
                    green</p>","g","html-keyboard-response","9","12598","0.0-2.0-1.3","response","green","green","congruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","14602","0.0-2.0-0.4","fixation","","","","",""
"1151","
                    <p style=""color:blue"">
                    yellow</p>","b","html-keyboard-response","11","15753","0.0-2.0-1.4","response","blue","yellow","incongruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","17516","0.0-2.0-0.5","fixation","","","","",""
"2079","
                    <p style=""color:green"">
                    red</p>","g","html-keyboard-response","13","19596","0.0-2.0-1.5","response","green","red","incongruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","21354","0.0-2.0-0.6","fixation","","","","",""
"1510","
                    <p style=""color:red"">
                    green</p>","r","html-keyboard-response","15","22865","0.0-2.0-1.6","response","red","green","incongruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","24381","0.0-2.0-0.7","fixation","","","","",""
"913","
                    <p style=""color:blue"">
                    blue</p>","b","html-keyboard-response","17","25295","0.0-2.0-1.7","response","blue","blue","congruent","b","true"
"1590","<p>You responded correctly on 88% of the trials.</p>
                <p>Your average response time was 1121ms.</p>
                <p>Press any key to complete the experiment</p>
                <p>and csv file of your experiment</p>
                <p>data will automatically get downloaded. Thank you!!</p>"," ","html-keyboard-response","18","26885","0.0-3.0","","","","","",""
