"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","color","text","condition","correct_response","correct"
"817","Welcome to the experiment! Press any key to begin"," ","html-keyboard-response","0","820","0.0-0.0","","","","","",""
"1208","
            <p>In this experiment, a word will appear in the center of the screen.</p>
            <p>When the word appears respond with the <strong>color</strong>
            in which the word is printed as quickly as you can.</p><p> 
            Press <strong>r</strong> for red, <strong>g</strong> for green, 
            <strong>y</strong> for yellow and <strong>b</strong> for blue.</p>
            <p>Press any key to begin.</p>
            "," ","html-keyboard-response","1","2029","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","4549","0.0-2.0-0.0","fixation","","","","",""
"1312","
                    <p style=""color:yellow"">
                    yellow</p>","y","html-keyboard-response","3","5862","0.0-2.0-1.0","response","yellow","yellow","congruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","7375","0.0-2.0-0.1","fixation","","","","",""
"3012","
                    <p style=""color:yellow"">
                    blue</p>","b","html-keyboard-response","5","10388","0.0-2.0-1.1","response","yellow","blue","incongruent","y","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","12391","0.0-2.0-0.2","fixation","","","","",""
"867","
                    <p style=""color:red"">
                    red</p>","r","html-keyboard-response","7","13259","0.0-2.0-1.2","response","red","red","congruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","15275","0.0-2.0-0.3","fixation","","","","",""
"741","
                    <p style=""color:blue"">
                    blue</p>","b","html-keyboard-response","9","16017","0.0-2.0-1.3","response","blue","blue","congruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","17019","0.0-2.0-0.4","fixation","","","","",""
"714","
                    <p style=""color:green"">
                    green</p>","g","html-keyboard-response","11","17733","0.0-2.0-1.4","response","green","green","congruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","19244","0.0-2.0-0.5","fixation","","","","",""
"1894","
                    <p style=""color:red"">
                    green</p>","g","html-keyboard-response","13","21139","0.0-2.0-1.5","response","red","green","incongruent","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","21396","0.0-2.0-0.6","fixation","","","","",""
"1763","
                    <p style=""color:blue"">
                    yellow</p>","y","html-keyboard-response","15","23160","0.0-2.0-1.6","response","blue","yellow","incongruent","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","25175","0.0-2.0-0.7","fixation","","","","",""
"1323","
                    <p style=""color:green"">
                    red</p>","r","html-keyboard-response","17","26498","0.0-2.0-1.7","response","green","red","incongruent","g","false"
"7201","<p>You responded correctly on 50% of the trials.</p>
                <p>Your average response time was 909ms.</p>
                <p>Press any key to complete the experiment and csv file of your experiment
                data will automatically get downloaded. Thank you!!</p>"," ","html-keyboard-response","18","33701","0.0-3.0","","","","","",""
