"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","color","text","condition","correct_response","correct"
"25367","Welcome to the experiment! Press any key to begin"," ","html-keyboard-response","0","25370","0.0-0.0","","","","","",""
"28373","
            <p>In this experiment, a word will appear in the center of the screen.</p>
            <p>When the word appears respond with the <strong>color</strong>
            in which the word is printed as quickly as you can.</p><p> 
            Press <strong>r</strong> for red, <strong>g</strong> for green, 
            <strong>y</strong> for yellow, <strong>b</strong> for blue,
            <strong>p</strong> for purple and <strong>o</strong> for orange.</p>
            <p>Press any key to begin.</p>
            "," ","html-keyboard-response","1","53743","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","57765","0.0-2.0-0.0","fixation","","","","",""
"7771","
                    <p style=""color:red"">
                    red</p>","r","html-keyboard-response","3","65538","0.0-2.0-1.0","response","red","red","congruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","66543","0.0-2.0-0.1","fixation","","","","",""
"14256","
                    <p style=""color:yellow"">
                    yellow</p>","y","html-keyboard-response","5","80800","0.0-2.0-1.1","response","yellow","yellow","congruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","82064","0.0-2.0-0.2","fixation","","","","",""
"3876","
                    <p style=""color:green"">
                    red</p>","g","html-keyboard-response","7","85941","0.0-2.0-1.2","response","green","red","incongruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","87456","0.0-2.0-0.3","fixation","","","","",""
"1591","
                    <p style=""color:blue"">
                    blue</p>","b","html-keyboard-response","9","89047","0.0-2.0-1.3","response","blue","blue","congruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","89551","0.0-2.0-0.4","fixation","","","","",""
"1971","
                    <p style=""color:orange"">
                    blue</p>","o","html-keyboard-response","11","91523","0.0-2.0-1.4","response","orange","blue","incongruent","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","93528","0.0-2.0-0.5","fixation","","","","",""
"3359","
                    <p style=""color:blue"">
                    yellow</p>","b","html-keyboard-response","13","96888","0.0-2.0-1.5","response","blue","yellow","incongruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","97889","0.0-2.0-0.6","fixation","","","","",""
"2274","
                    <p style=""color:red"">
                    green</p>","r","html-keyboard-response","15","100164","0.0-2.0-1.6","response","red","green","incongruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","101922","0.0-2.0-0.7","fixation","","","","",""
"2038","
                    <p style=""color:purple"">
                    green</p>","p","html-keyboard-response","17","103960","0.0-2.0-1.7","response","purple","green","incongruent","p","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","104716","0.0-2.0-0.8","fixation","","","","",""
"1191","
                    <p style=""color:yellow"">
                    blue</p>","y","html-keyboard-response","19","105907","0.0-2.0-1.8","response","yellow","blue","incongruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","107665","0.0-2.0-0.9","fixation","","","","",""
"996","
                    <p style=""color:green"">
                    green</p>","g","html-keyboard-response","21","108661","0.0-2.0-1.9","response","green","green","congruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","109414","0.0-2.0-0.10","fixation","","","","",""
"1086","
                    <p style=""color:orange"">
                    orange</p>","o","html-keyboard-response","23","110501","0.0-2.0-1.10","response","orange","orange","congruent","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","111265","0.0-2.0-0.11","fixation","","","","",""
"962","
                    <p style=""color:purple"">
                    purple</p>","p","html-keyboard-response","25","112227","0.0-2.0-1.11","response","purple","purple","congruent","p","true"
"17344","<p>You responded correctly on 100% of the trials.</p>
                <p>Your average response time was 3448ms.</p>
                <p>Press any key to complete the experiment and csv file of your experiment
                data will automatically get downloaded. Thank you!!</p>"," ","html-keyboard-response","26","129561","0.0-3.0","","","","","",""
