"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","color","text","condition","correct_response","correct"
"1087","Welcome to the experiment! Press any key to begin"," ","html-keyboard-response","0","1088","0.0-0.0","","","","","",""
"461","
            <p>In this experiment, a word will appear in the center of the screen.</p>
            <p>When the word appears respond with the <strong>color</strong>
            in which the word is printed as quickly as you can.</p><p> 
            Press <strong>R</strong> for red, <strong>G</strong> for green, 
            <strong>Y</strong> for yellow and <strong>B</strong> for blue.</p>
            <p>Press any key to begin.</p>
            "," ","html-keyboard-response","1","1550","0.0-1.0","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","4561","0.0-2.0-0.0","fixation","","","","",""
"746","
                    <p style=""color:yellow"">
                    blue</p>","b","html-keyboard-response","3","5309","0.0-2.0-1.0","response","yellow","blue","incongruent","y","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","6816","0.0-2.0-0.1","fixation","","","","",""
"755","
                    <p style=""color:green"">
                    green</p>","g","html-keyboard-response","5","7572","0.0-2.0-1.1","response","green","green","congruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","8328","0.0-2.0-0.2","fixation","","","","",""
"1785","
                    <p style=""color:red"">
                    red</p>","r","html-keyboard-response","7","10114","0.0-2.0-1.2","response","red","red","congruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","11368","0.0-2.0-0.3","fixation","","","","",""
"721","
                    <p style=""color:yellow"">
                    yellow</p>","y","html-keyboard-response","9","12090","0.0-2.0-1.3","response","yellow","yellow","congruent","y","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","14101","0.0-2.0-0.4","fixation","","","","",""
"649","
                    <p style=""color:green"">
                    red</p>","g","html-keyboard-response","11","14751","0.0-2.0-1.4","response","green","red","incongruent","g","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","15761","0.0-2.0-0.5","fixation","","","","",""
"1151","
                    <p style=""color:blue"">
                    yellow</p>","b","html-keyboard-response","13","16913","0.0-2.0-1.5","response","blue","yellow","incongruent","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","18167","0.0-2.0-0.6","fixation","","","","",""
"1134","
                    <p style=""color:red"">
                    green</p>","r","html-keyboard-response","15","19301","0.0-2.0-1.6","response","red","green","incongruent","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","19811","0.0-2.0-0.7","fixation","","","","",""
"713","
                    <p style=""color:blue"">
                    blue</p>","b","html-keyboard-response","17","20525","0.0-2.0-1.7","response","blue","blue","congruent","b","true"
"1098","<p>You responded correctly on 88% of the trials.</p>
                <p>Your average response time was 987ms.</p>
                <p>Press any key to complete the experiment. Thank you!!</p>"," ","html-keyboard-response","18","21623","0.0-3.0","","","","","",""
